Feature,Coefficient,AbsValue
gender_male,12.878719148911989,12.878719148911989
writing score,10.561556391732443,10.561556391732443
race/ethnicity_group E,4.76330662876556,4.76330662876556
reading score,3.6815127005503334,3.6815127005503334
lunch_standard,3.5626693592336607,3.5626693592336607
test preparation course_none,3.1756433495917795,3.1756433495917795
race/ethnicity_group C,-0.6594811775897341,0.6594811775897341
race/ethnicity_group D,-0.6256176690424178,0.6256176690424178
parental level of education,-0.4070060033144414,0.4070060033144414
race/ethnicity_group B,0.26158849131034995,0.26158849131034995
